标题,编号,商家,单价不含税,品名,单位,品牌,规格,发货仓,等级,起售量,联系电话,运费,库存量,图片1,图片2,图片3,页面网址,产品详情
汇洪国际/TOLKO/SPF 38*89-2.66m,20170303103,汇洪国际贸易有限公司,1600,SPF,立方,TOLKO,38*89-2.66m,太仓金马库,Econ,5,18651905588,不含,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgprjjxQUo4JGJywUwgAo41gY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgrrjjxQUotoGH9QcwgAo41gY!60x60.jpg,,http://market.anywood.com/h-pd-348.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：SPF产地：加拿大等级：普通规格：常规处理工艺：烘干、四面刨存储仓库：太仓金马库补充描述：本SPF为除ESTUD2.44的和2.66的货号9开头两种以外的种类仓库地址：太仓刘家港镇新港公路88号商家名称：太仓汇洪国际贸易有限公司交收条件：按方出售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际/TOLKO/SPF/38*89*2440,20170303101,汇洪国际贸易有限公司,1470,SPF,立方,TOLKO,38*89*2440,太仓金马库,Econ,5,18651905588,不含,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgm7LjxQUoquqF9gMwgAo41gY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgprLjxQUojuGxyQcwgAo41gY!60x60.jpg,,http://market.anywood.com/h-pd-346.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：SPF产地：加拿大等级：ESTUD规格：38mm*89mm*2440mm处理工艺：烘干、四面刨 存储仓库：太仓金马库仓库地址：太仓刘家港镇新港公路88号商家名称：太仓汇洪国际贸易有限公司交收条件：按方出售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
汇洪国际/TOLKO/SPF/38*89*2660,20170303102,汇洪国际贸易有限公司,1700,SPF,立方,TOLKO,38*89*2660,太仓金马库,#4,5,18651905588,不含,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgxLbjxQUo6YrFrAEwgAo41gY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgz7bjxQUogJaWwQcwgAo41gY!60x60.jpg,,http://market.anywood.com/h-pd-347.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：SPF产地：加拿大等级：货号9开头规格：38mm*89mm*2660mm处理工艺：烘干、四面刨存储仓库：太仓金马库仓库地址：太仓刘家港镇新港公路88号商家名称：太仓汇洪国际贸易有限公司交收条件：按方出售联系人：戴进坤　18651905588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
凯美木业 ??南方松板材 70*70,20161212301,凯美木业,1750,巴西松,立方,,70*70,吉隆木材市场,ABC混装级,1,18102941021,视收货地址另算,700,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgk-u9wgUopJaigwEwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAglvu9wgUokM-JhgIwgAo4wAc!60x60.jpg,,http://market.anywood.com/h-pd-304.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,
凯美木业 ?巴西松板材 ?50*100,20161213302,凯美木业,1750,巴西松,立方,,50*100,吉隆木材市场,ABC混装级,1,18102941021,视收货地址另算,300,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg7oG_wgUo7PWZ5AYwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg8YG_wgUouLzthwMwgAo4wAc!60x60.jpg,,http://market.anywood.com/h-pd-305.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,
品栎木业/CL/白蜡/4/4/1COM,20121226101,上海品栎木业有限公司,4600,白蜡木,立方,CL,4月4日,嘉定科贸路800号,1COM,3,15900711664,视收货地址另算,80,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgk_6BwwUouLCxtgQwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgm_6BwwUose_VuQcwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-323.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白蜡木产地：美国等级：1COM规格：4/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：上海品栎木业有限公司交收条件：按方出售联系人：孟小姐　15900711664商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
品栎木业/M/红橡/4/4/FAS,20161226102,上海品栎木业有限公司,6350,红橡,立方,M,4月4日,嘉定科贸路800号,FAS,3,15900711664,视收货地址另算,80,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgmPGBwwUomoL3rgIwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgnvGBwwUojLa6VTDABziACg!60x60.jpg,,http://market.anywood.com/h-pd-324.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：红橡产地：美国等级：FAS规格：4/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：上海品栎木业有限公司交收条件：按方出售联系人：孟小姐　15900711664商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
品实木业/Banks/樱桃木2.54/普一,20161216101,上海品实木业有限公司,5700,樱桃木,立方,Banks,2.54,宝山杨北路,普一,3,15021474223,视收货地址另算,80,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgpJaDwwUo7trI2QIwhwQ45QI!60x60.png,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgq5aDwwUo1tL_3gYwSzhk!60x60.jpg,,http://market.anywood.com/h-pd-308.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樱桃木产地：美国等级：普一规格：4/4(2.54cm）存储仓库：上海宝山杨北路仓库地址：上海宝山杨北路商家名称：上海品实木业有限公司交收条件：按方出售备注：宽度自然宽，大概10多公分到20多公分不等。长度2米1到4米9不等。联系人：刘小姐　15021474223商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
品实木业/CLC/白蜡/4/4/1COM,20161226110,上海品实木业有限公司,4800,白蜡,立方,CLC,4月4日,宝山杨北路,1COM,3,15021474223,视收货地址另算,60,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg4YCDwwUooO-zuwcw8QM4_gI!60x60.png,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg5YCDwwUo0u2YpAUwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-333.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白蜡木产地：美国等级：普一规格：4/4存储仓库：上海宝山杨北路仓库地址：上海宝山杨北路商家名称：上海品实木业有限公司交收条件：按方出售联系人：刘小姐　15021474223商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
品实木业/JEJ/黄杨木/2.54-5.08/普一,20161216102,上海品实木业有限公司,3000,黄杨木,立方,JEJ,2.54-5.08,宝山杨北路,普一,3,15021474223,视收货地址另算,100,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgh-jNwgUosq66rgMwwAc4gAo!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgjPjNwgUopueD6AEwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-309.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黄杨木产地：美国等级：普一规格：2.54cm-5.08cm存储仓库：上海宝山杨北路仓库地址：上海宝山杨北路商家名称：上海品实木业有限公司交收条件：按方出售备注：宽度自然宽，大概10多公分到20多公分不等。长度2米1到4米9不等。联系人：刘小姐　15021474223商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
品实木业/JEJ/黄杨木/8/4/1COM,20161226111,上海品实木业有限公司,3800,黄杨木,立方,JEJ,8月4日,宝山杨北路,1COM,3,15021474223,视收货地址另算,39,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg0Y2DwwUokPqZlgEw8wM4sAI!60x60.png,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1o2DwwUokomR3AIwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-334.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黄杨木产地：美国等级：普一规格：8/4存储仓库：上海宝山杨北路仓库地址：上海宝山杨北路商家名称：上海品实木业有限公司交收条件：按方出售联系人：刘小姐　15021474223商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
品实木业/高基斯/樱桃木/4/4/1COM,20161226105,上海品实木业有限公司,5900,樱桃木,立方,Gutchess,4月4日,宝山杨北路,1COM,3,15021474223,视收货地址另算,70,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgs46CwwUo0NaUpQQwlQQ47wI!60x60.png,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgzY6CwwUorKv8dzDABziACg!60x60.jpg,,http://market.anywood.com/h-pd-327.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樱桃木产地：美国等级：普一规格：4/4(2.54cm）存储仓库：上海宝山杨北路仓库地址：上海宝山杨北路商家名称：上海品实木业有限公司交收条件：按方出售联系人：刘小姐　15021474223商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
品实木业/高斯基/黑胡桃/4/4/1COM,20161226112,上海品实木业有限公司,9500,黑胡桃,立方,高斯基,4月4日,宝山杨北路,1COM,3,15021474223,视收货地址另算,60,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAguJKDwwUoipbF4wQwgQQ4-AI!60x60.png,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgwJKDwwUo9q2otAcwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-335.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黑胡桃产地：美国等级：普一规格：4/4存储仓库：上海宝山杨北路仓库地址：上海宝山杨北路商家名称：上海品实木业有限公司交收条件：按方出售联系人：刘小姐　15021474223商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛好好木业 一利木 无节樟子松板材 25*125-150-175 US,20161218106,青岛好好木业有限公司,2950,樟子松板材,立方,一利木,25*125-150-175,青岛北方木材交易市场,US,1,13210868022,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg74DZwgUo4OT7sAQwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg84DZwgUojbCn7gMwgAo4wAc!60x60.jpg,,http://market.anywood.com/h-pd-316.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樟子松板材品牌：一利木产地：西伯利亚等级：US规格：25*125-150-175处理工艺：烘干到港时间：2016年12月 ?存储仓库：青岛北方木材交易市场商家名称：青岛好好木业有限公司联系人：杨经理　13210868022商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛恒润林 MGP10 45*90 G4,20161211205,青岛恒润林贸易有限公司,2100,辐射松,立方,MGP,45*90,青岛图腾板材仓库,G4,1,15166635353,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1uS1wgUoydvskwQwgAo40AU!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgx_W1wgUo3ve17wMw0AU4gAo!60x60.jpg,,http://market.anywood.com/h-pd-301.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：辐射松品牌：MGP产地：俄罗斯等级：G4规格：45*90 处理工艺：烘干到港时间：2016年12月 ?存储仓库：青岛图腾板材仓库商家名称：青岛恒润林贸易有限公司联系人：王总　15166635353商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛恒润林 卡达维 辐射松板材 45*90 A,20161218104,青岛恒润林贸易有限公司,0,辐射松板材,1850,卡达维,45*90,青岛鑫汇海物流有限公司,A,1,15166635353,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgzPbYwgUoku6sjwYwgAo40AU!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg0fbYwgUowL3AwQQwgAo40AU!60x60.jpg,,http://market.anywood.com/h-pd-314.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：辐射松品牌：卡达维产地：新西兰等级：A规格：45*90处理工艺：烘干到港时间：2016年12月 ?存储仓库：青岛鑫汇海物流有限公司商家名称：青岛恒润林贸易有限公司联系人：王总　15166635353商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛华源木业 LDK 樟子松板材 25*200 35*125 SF,20161218103,青岛华源木业有限公司,1750,樟子松板材,立方,LDK,25*200,青岛北方木材交易市场,SF,1,13255555916,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgxOjYwgUopuW23gcwwAc4gAo!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgyOjYwgUorP7mnwcwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-313.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樟松板材品牌：LDK产地：俄罗斯等级：SF规格：25*200 35*125加工工艺：烘干到港时间：2016年12月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号商家名称：青岛华源木业有限公司交手条件：按包出售，按方计价，1包起售联系人：杨经理：13255555916商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛晋五洲 AHK 马六甲芯板 1.22*2.44*13.2 A,20161211204,青岛晋五洲贸易有限公司,86,马六甲芯板,张,AHK,1.22*2.44*13.2,青岛北方木材交易市场,A,1,18669802931,视收货地址另算,500,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgpN61wgUooNaY7QMwSzhk!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgqd61wgUo1Pqn7wcwSzhk!60x60.jpg,,http://market.anywood.com/h-pd-300.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：印尼马六甲品牌：AHK产地：印度尼西亚等级：A规格：1.22*2.44*13.2处理工艺：烘干、拼接到港时间：2016年12月 ?存储仓库：青岛北方木材交易中心补充描述：包装情况：每包83片商家名称：青岛晋五洲贸易有限公司联系人：徐经理　18669802931商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛晋五洲 AHK 马六甲芯板 1.22*2.44*13.2cm A,2016101110,青岛晋五洲贸易有限公司,86,马六甲芯板,张,AHK,1.22*2.44*13.2cm,青岛北方木材交易市场,A,83,18669802931,,3000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgts3xvwUooNnW7wIw2AQ4oAY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAguM3xvwUostaW5AUw2AQ4oAY!60x60.jpg,,http://market.anywood.com/h-pd-241.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：印尼马六甲品牌：AHK产地：印度尼西亚等级：A规格：1.22*2.44*13.2处理工艺：烘干、拼接到港时间：2016年10月 ? 存储仓库：青岛北方木材交易中心补充描述：包装情况：每包83片商家名称：青岛晋五洲贸易有限公司联系人：徐经理　18669802931商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛晋五洲 MJ 马六甲芯板 1220*2440*13.2 B,20161211203,青岛晋五洲贸易有限公司,77,马六甲芯板,张,MJ,1220*2440*13.2,青岛北方木材交易市场,B,1,18669802931,视收货地址另算,499,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgsty1wgUooIa6kwcwSzhk!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg19y1wgUous25EDBLOGQ!60x60.jpg,,http://market.anywood.com/h-pd-299.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：马六甲芯板（印尼）品牌：HIKMAT JAYA（MJ））产地：印度尼西亚等级：B规格：1220x2440x13.2处理工艺：烘干，机拼到港时间：2016年12月  仓储地址：青岛北方木材交易中心补充描述：（1）货物品质：胶合度极好，沟槽较少，无太多腐朽（2）包装情况：每件83张商家名称：青岛晋五洲贸易有限公司联系人：徐经理　18669802931商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛晋五洲 MJ 马六甲芯板 1220mmx2440mmx13.2m B,2016101111,青岛晋五洲贸易有限公司,77,马六甲芯板,张,MJ,1220mmx2440mmx13.2m,青岛北方木材交易市场,B,83,18669802931,,2000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgqM-xvwUo8NzcyAMw2AQ4oAY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgqs-xvwUo4r3ABDDYBDigBg!60x60.jpg,,http://market.anywood.com/h-pd-242.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：马六甲芯板（印尼）品牌：HIKMAT JAYA（MJ））产地：印度尼西亚等级：B规格：1220x2440x13.2 处理工艺：烘干，机拼到港时间：2016年10月  ?仓储地址：青岛北方木材交易中心补充描述：（1）货物品质：胶合度极好，沟槽较少，无太多腐朽（2）包装情况：每件83张商家名称：青岛晋五洲贸易有限公司联系人：徐经理　18669802931商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛闽南建材 DNS 辐射松原木 20cmUP*3.5-5.9m A/K/KI,2016101109,青岛闽南建材有限公司　,870,辐射松,立方,DNS,20cmUP*3.5-5.9m,青岛图腾堆场,A/K/KI,5,13806445514,,400,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgha_cwAUo1vH2rQUw1AM4hQM!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgiq_cwAUo0r_NuwEwzAI4zgI!60x60.jpg,,http://market.anywood.com/h-pd-240.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：辐射松原木品牌：DNS产地：新西兰等级：A/K/KI规格：20cmUP*3.5-5.9m 850-870处理工艺：原木到港时间：2016年9月 ? 存储仓库：青岛图腾堆场补充描述:（1）货物品质：本次原木货物新鲜，直度好，根结多，巴结少。（2）包装情况：每车50M?商家名称：青岛闽南建材有限公司联系人：杨总　13806445514商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛闽南建材 苏蒂玛 樟子松原木20pxUP*3.5-5.9m,20171010003,青岛闽南建材有限公司　,880,樟子松,立方,苏蒂玛,20pxUP*3.5-5.9m,青岛图腾堆场,ABC混装级,5,13806445514,,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg68PxvwUohMX0wQEwvQU4qwM!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg7MPxvwUo5c-K6AEwtwU4hQM!60x60.jpg,,http://market.anywood.com/h-pd-226.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樟子松原木品牌：苏蒂玛产地：乌克兰等级：ABC混装级 ?规格：500pxUP*3.5-5.9m处理工艺：原木到港时间：2016年9月 ? 存储仓库：青岛图腾堆场货物品质：本次原木货物新鲜，直度好，根结多，巴结少。包装情况：每车50M?商家名称：青岛闽南建材有限公司　联系人：杨经理　13806445514商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 ASTAR 白松板材 22*125*2700-6000 SF,2016101105,山东人人国际贸易有限公司,2000,俄罗斯白松,立方,ASTAR,22*125*2700-6000,青岛北方木材交易市场,SF,4,18151988444,,400,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgkcOCwAUoqIuOzQYwswI45wE!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgnKvxvwUor9_72QcwmwQ4yQE!60x60.jpg,,http://market.anywood.com/h-pd-236.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：ASTAR产地：俄罗斯等级：SF规格：22*125*2700-6000加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包352片，每包尺寸：1.1*1*2.7-6米，每包2.80-6.02立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 LDK 樟松板材 50*150*2700-6000 SF,2016101108,山东人人国际贸易有限公司,2000,樟子松,立方,LDK,50*150*2700-6000,青岛北方木材交易市场,SF,4,18151988444,,400,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg9pCCwAUo8OuX5wMwzQI47wE!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg3bjxvwUokM_ZpQYwkgQ4mAE!60x60.jpg,,http://market.anywood.com/h-pd-239.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樟松板材品牌：LDK产地：俄罗斯等级：SF规格：50*150*2700-6000加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包140片，每包尺寸：1.1*1*2.7-6米，每包3.80-6.30立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 SEL 樟松板材 20*100*2985-3985,20161211202,山东人人国际贸易有限公司,1950,樟子松,立方,SEL,20*100*2985-3985,青岛北方木材交易市场,C—B,1,18151988444,视收货地址另算,1000,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg2tm1wgUoiLPoogUwqQQ4ogI!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg_dm1wgUoruvAqAMw-BE4gCA!60x60.png,,http://market.anywood.com/h-pd-298.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樟松板材品牌：SEL产地：俄罗斯等级：C--B规格：20*100*2985-3985加工工艺：烘干到港时间：2016年12月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 SEL 樟松板材 20*100*2985-3985 C-B,2016101107,山东人人国际贸易有限公司,1900,樟子松,立方,SEL,20*100*2985-3985,青岛北方木材交易市场,C-B,4,18151988444,,400,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgtYWCwAUo2r71xgEwzQI47wE!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1bbxvwUoj6PF3gYwjQQ4tgE!60x60.jpg,,http://market.anywood.com/h-pd-238.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樟松板材品牌：SEL产地：俄罗斯等级：C--B规格：20*100*2985-3985加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包470-517片，每包尺寸：1.1*1*2.7-6米，每包2.806-3.746立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 SEL 樟松板材 30*100*2985-3985 B-C,2016101105,山东人人国际贸易有限公司,2000,樟子松,立方,SEL,30*100*2985-3985,青岛北方木材交易市场,B-C,4,18151988444,,400,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgw5GCwAUomPnrigYwzgI4-QE!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg5LTxvwUo3JnPyQYw7gM4twE!60x60.jpg,,http://market.anywood.com/h-pd-237.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樟松板材品牌：SEL产地：俄罗斯等级：B--C规格：30*100*2985-3985加工工艺：烘干存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包140片，每包尺寸：1.1*1*2.7-6米，每包3.80-6.30立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 SLP 白松板材 38*150*4000 1-4,20161210201,山东人人国际贸易有限公司,2100,俄罗斯白松,立方,SLP,38*150*4000,青岛北方木材交易市场,1-4、5,1,18151988444,视收货地址另算,1000,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgyNWuwgUo4PTQ1QUwtQQ49gE!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg89auwgUopOz0xAIwqQQ4pAE!60x60.png,,http://market.anywood.com/h-pd-296.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：SLP产地：俄罗斯等级：1-4、5规格：38*150*4000加工工艺：烘干到港时间：2016年12月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号
